Start index,Step size,x,y,Steps to convergence
0,0.01,1.74,0.39602,174
0,0.02,1.74,0.39602,87
0,0.03,1.74,0.39602,58
0,0.04,1.72,0.39579,43
0,0.05,1.75,0.39596,35
0,0.060000000000000005,1.74,0.39602,29
0,0.07,1.75,0.39596,25
0,0.08,1.76,0.39578,22
0,0.09,1.71,0.3955,19
0,0.09999999999999999,1.7,0.39511,17
1,0.01,1.74,0.39602,74
1,0.02,1.74,0.39602,37
1,0.03,1.75,0.39596,25
1,0.04,1.72,0.39579,18
1,0.05,1.75,0.39596,15
1,0.060000000000000005,1.72,0.39579,12
1,0.07,1.77,0.39548,11
1,0.08,1.72,0.39579,9
1,0.09,1.72,0.39579,8
1,0.09999999999999999,1.7,0.39511,7
2,0.01,1.74,0.39602,26
2,0.02,1.74,0.39602,13
2,0.03,1.73,0.39596,9
2,0.04,1.72,0.39579,7
2,0.05,1.75,0.39596,5
2,0.060000000000000005,1.76,0.39578,4
2,0.07,1.72,0.39579,4
2,0.08,1.76,0.39578,3
2,0.09,1.73,0.39596,3
2,0.09999999999999999,1.7,0.39511,3
3,0.01,1.74,0.39602,126
3,0.02,1.74,0.39602,63
3,0.03,1.74,0.39602,42
3,0.04,1.72,0.39579,32
3,0.05,1.75,0.39596,25
3,0.060000000000000005,1.74,0.39602,21
3,0.07,1.74,0.39602,18
3,0.08,1.72,0.39579,16
3,0.09,1.74,0.39602,14
3,0.09999999999999999,1.7,0.39511,13
4,0.01,3.96,0.33411,4
4,0.02,3.96,0.33411,2
4,0.03,3.97,0.33382,1
4,0.04,3.96,0.33411,1
4,0.05,3.95,0.33388,1
4,0.060000000000000005,3.94,0.33312,1
4,0.07,3.93,0.33186,1
4,0.08,3.92,0.33008,1
4,0.09,4.0,0.32979,0
4,0.09999999999999999,4.0,0.32979,0
5,0.01,5.32,0.3105,32
5,0.02,5.32,0.3105,16
5,0.03,5.33,0.30968,11
5,0.04,5.32,0.3105,8
5,0.05,5.3,0.30951,6
5,0.060000000000000005,5.3,0.30951,5
5,0.07,5.35,0.30539,5
5,0.08,5.32,0.3105,4
5,0.09,5.36,0.30194,4
5,0.09999999999999999,5.3,0.30951,3
6,0.01,6.39,0.29611,39
6,0.02,6.38,0.29554,19
6,0.03,6.39,0.29611,13
6,0.04,6.4,0.29546,10
6,0.05,6.4,0.29546,8
6,0.060000000000000005,6.36,0.29083,6
6,0.07,6.42,0.29054,6
6,0.08,6.4,0.29546,5
6,0.09,6.36,0.29083,4
6,0.09999999999999999,6.4,0.29546,4
7,0.01,7.31,0.28572,31
7,0.02,7.3,0.28537,15
7,0.03,7.3,0.28537,10
7,0.04,7.32,0.28455,8
7,0.05,7.3,0.28537,6
7,0.060000000000000005,7.3,0.28537,5
7,0.07,7.28,0.28011,4
7,0.08,7.32,0.28455,4
7,0.09,7.27,0.27526,3
7,0.09999999999999999,7.3,0.28537,3
8,0.01,8.12,0.27778,12
8,0.02,8.12,0.27778,6
8,0.03,8.12,0.27778,4
8,0.04,8.12,0.27778,3
8,0.05,8.1,0.27344,2
8,0.060000000000000005,8.12,0.27778,2
8,0.07,8.14,0.27481,2
8,0.08,8.16,0.26457,2
8,0.09,8.09,0.26857,1
8,0.09999999999999999,8.1,0.27344,1
9,0.01,8.86,0.27133,14
9,0.02,8.86,0.27133,7
9,0.03,8.85,0.26987,5
9,0.04,8.88,0.26787,3
9,0.05,8.85,0.26987,3
9,0.060000000000000005,8.88,0.26787,2
9,0.07,8.86,0.27133,2
9,0.08,8.84,0.26629,2
9,0.09,8.82,0.25296,2
9,0.09999999999999999,8.9,0.25598,1
10,0.01,10.0,-0.06891,0
10,0.02,10.0,-0.06891,0
10,0.03,10.0,-0.06891,0
10,0.04,10.0,-0.06891,0
10,0.05,10.0,-0.06891,0
10,0.060000000000000005,10.0,-0.06891,0
10,0.07,10.0,-0.06891,0
10,0.08,10.0,-0.06891,0
10,0.09,10.0,-0.06891,0
10,0.09999999999999999,10.0,-0.06891,0
